English,Chinese (S),Location,Transfers[10],Line, Latitude , Longitude ,
Xinzhuang,莘庄,Minhang,5 Jinshan Xinzhuang,1, 31.1110934835 , 121.3854538189 ,
Waihuanlu,外环路,Minhang,,1, 31.1209160019 , 121.3930031625 ,
Lianhua Road,莲花路,Minhang,,1, 31.1309570541 , 121.4029190026 ,
Jinjiang Park,锦江乐园,Xuhui,,1, 31.1421974801 , 121.4141463655 ,
Shanghai South Railway Station,上海南站,Xuhui,3 Jinshan [a] Shanghainan[b],1, 31.1546882896 , 121.4301358179 ,
Caobao Road,漕宝路,Xuhui,12,1, 31.1683910928 , 121.4349516747 ,
Shanghai Indoor Stadium,上海体育馆,Xuhui,4,1, 31.1827224790 , 121.4370549409 ,
Xujiahui,徐家汇,Xuhui,9 11,1, 31.1944398962 , 121.4359796592 ,
Hengshan Road,衡山路,Xuhui,,1, 31.2058226788 , 121.4475086233 ,
Changshu Road,常熟路,Xuhui,7,1, 31.2132997178 , 121.4510675172 ,
South Shaanxi Road,陕西南路,Huangpu,10 12,1, 31.2149228095 , 121.4585974611 ,
South Huangpi Road,黄陂南路,Huangpu,,1, 31.2230151584 , 121.4738751650 ,
People's Square,人民广场,Huangpu,2 8,1, 31.2323725402 , 121.4760743398 ,
Xinzha Road,新闸路,Huangpu,,1, 31.2386357519 , 121.4682018966 ,
Hanzhong Road,汉中路,Jing'an,12 13,1, 31.2418749330 , 121.4582982410 ,
Shanghai Railway Station,上海火车站,Jing'an,3 4 [c] Shanghai[b],1, 31.2472280221 , 121.4558052301 ,
North Zhongshan Road,中山北路,Jing'an,,1, 31.2595162962 , 121.4593782929 ,
Yanchang Road,延长路,Jing'an,,1, 31.2713648959 , 121.4555845816 ,
Shanghai Circus World,上海马戏城,Jing'an,,1, 31.2793162807 , 121.4521209079 ,
Wenshui Road,汶水路,Jing'an,,1, 31.2926594829 , 121.4502368508 ,
Pengpu Xincun,彭浦新村,Jing'an,,1, 31.3056722821 , 121.4487906979 ,
Gongkang Road,共康路,Jing'an,,1, 31.3198811047 , 121.4466744847 ,
Tonghe Xincun,通河新村,Baoshan,,1, 31.3309803588 , 121.4416443550 ,
Hulan Road,呼兰路,Baoshan,,1, 31.3400256275 , 121.4376946657 ,
Gongfu Xincun,共富新村,Baoshan,,1, 31.3551250780 , 121.4342130029 ,
Bao'an Highway,宝安公路,Baoshan,,1, 31.3695811442 , 121.4309662215 ,
West Youyi Road,友谊西路,Baoshan,,1, 31.3818349993 , 121.4277277369 ,
Fujin Road,富锦路,Baoshan,,1, 31.3923052954 , 121.4245852592 ,
East Xujing,徐泾东,Qingpu,,2, 31.1894779252 , 121.3016038576 ,
Hongqiao Railway Station,虹桥火车站,Minhang,10 17 Hongqiao[b],2, 31.1937845473 , 121.3201189938 ,
Hongqiao Airport Terminal 2,虹桥2号航站楼,Minhang,10 [d],2, 31.1942220000 , 121.3262520000 ,
